BookSupplUUID;to_Travel_TravelUUID;to_Booking_BookingUUID;BookingSupplementID;to_Supplement_SupplementID;Price;CurrencyCode_code;LastChangedAt
4D997221A8E4645C17002DF03754AB66;53657221A8E4645C17002DF03754AB66;82757221A8E4645C17002DF03754AB66;01;BV-0008;3.50;EUR;2021-10-22T20:07:58Z
57997221A8E4645C17002DF03754AB66;54657221A8E4645C17002DF03754AB66;86757221A8E4645C17002DF03754AB66;01;BV-0007;3.50;EUR;2021-10-21T02:37:18Z
5A997221A8E4645C17002DF03754AB66;54657221A8E4645C17002DF03754AB66;87757221A8E4645C17002DF03754AB66;01;BV-0006;3.50;EUR;2021-10-21T02:37:18Z
7C997221A8E4645C17002DF03754AB66;57657221A8E4645C17002DF03754AB66;9B757221A8E4645C17002DF03754AB66;01;BV-0008;3.50;EUR;2021-10-31T02:09:43Z
A5997221A8E4645C17002DF03754AB66;59657221A8E4645C17002DF03754AB66;B0757221A8E4645C17002DF03754AB66;01;BV-0006;3.50;EUR;2021-10-06T12:48:17Z
BE997221A8E4645C17002DF03754AB66;5C657221A8E4645C17002DF03754AB66;BD757221A8E4645C17002DF03754AB66;01;BV-0008;3.50;EUR;2021-10-22T02:39:47Z
C1997221A8E4645C17002DF03754AB66;5C657221A8E4645C17002DF03754AB66;C0757221A8E4645C17002DF03754AB66;01;BV-0008;3.50;EUR;2021-10-22T02:39:47Z
ED997221A8E4645C17002DF03754AB66;61657221A8E4645C17002DF03754AB66;D9757221A8E4645C17002DF03754AB66;01;BV-0004;3.50;EUR;2021-10-29T02:42:47Z
F7997221A8E4645C17002DF03754AB66;61657221A8E4645C17002DF03754AB66;E1757221A8E4645C17002DF03754AB66;01;BV-0007;3.50;EUR;2021-10-29T02:42:47Z
F8997221A8E4645C17002DF03754AB66;61657221A8E4645C17002DF03754AB66;E2757221A8E4645C17002DF03754AB66;01;BV-0008;3.50;EUR;2021-10-29T02:42:47Z
019A7221A8E4645C17002DF03754AB66;62657221A8E4645C17002DF03754AB66;E7757221A8E4645C17002DF03754AB66;01;BV-0008;3.50;EUR;2021-10-25T09:16:52Z
